,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
249,2019-03-08 00:00:00-2019-07-27 00:00:00,0.06,0.29,8,2017-04-06 00:00:00-2018-10-24 00:00:00,0.06,0.28,36,0.5549346498741987,0.5796616515400775,False,False,3.703446798544337e-05,160139,71070,58,54,Demographics,Promotion,mean,0.6549601655568567
3116,2019-04-04 00:00:00-2019-12-05 00:00:00,0.08,0.37,19,2017-03-08 00:00:00-2018-12-11 00:00:00,0.64,2.1,414,-0.5536298365265718,0.580163038551988,False,False,1.5019406907026238e-18,160139,71070,58,54,Demographics,Promotion,mean,0.6552171804609799
927,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,-0.5517283624430706,0.5818319246205259,False,False,3.5948882460781535e-09,160139,71070,58,54,Demographics,Promotion,mean,0.6565195645375773
1690,2019-03-05 00:00:00-2019-08-01 00:00:00,0.04,0.23,6,2017-03-16 00:00:00-2018-12-07 00:00:00,0.18,0.66,113,-0.5513126382829342,0.5820325423718167,False,False,3.99834218464009e-13,160139,71070,58,54,Demographics,Promotion,mean,0.6565195645375773
430,2019-07-19 00:00:00-2019-08-01 00:00:00,0.14,0.36,2,2017-03-04 00:00:00-2018-12-17 00:00:00,12.26,9.32,8017,-0.5642197735151661,0.582139630595402,False,False,3.730249305628973e-266,160139,71070,58,54,Demographics,Promotion,mean,0.6565195645375773
68,2019-02-28 00:00:00-2019-10-15 00:00:00,0.02,0.13,4,2018-02-28 00:00:00-2018-09-19 00:00:00,0.03,0.29,7,0.5443957373621213,0.5864599965286961,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.661080259988992
1709,2019-03-05 00:00:00-2019-08-01 00:00:00,0.04,0.23,6,2017-04-05 00:00:00-2018-12-10 00:00:00,0.04,0.24,27,0.5438695378505527,0.5871800957345479,False,False,0.0011544489818646783,160139,71070,58,54,Demographics,Promotion,mean,0.661580211491775
957,2019-04-08 00:00:00-2019-12-06 00:00:00,0.07,0.33,17,2017-03-16 00:00:00-2018-08-18 00:00:00,0.03,0.17,15,-0.5402959238354551,0.5891690265476976,False,False,0.848076152472129,160139,71070,58,54,Demographics,Promotion,mean,0.6635086212345069
273,2019-03-08 00:00:00-2019-07-27 00:00:00,0.06,0.29,8,2018-07-23 00:00:00-2018-09-30 00:00:00,0.04,0.2,3,-0.5404189734951835,0.5900685874595033,False,False,0.4980964239116068,160139,71070,58,54,Demographics,Promotion,mean,0.6642089699779444
1958,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,2017-03-08 00:00:00-2018-10-23 00:00:00,0.02,0.2,14,-0.535314349965042,0.5926452556788686,False,False,0.04225578729713639,160139,71070,58,54,Demographics,Promotion,mean,0.6667956028146066
