,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1130,2017-04-19 00:00:00-2019-12-20 00:00:00,0.44,1.09,427,2017-03-07 00:00:00-2019-12-25 00:00:00,0.94,1.38,962,-4.176013481226222,3.1005010060463434e-05,False,False,3.8474182647451867e-38,29663,220545,41,61,Demographics,Demographics,mean,5.9569666150476664e-05
428,2018-02-28 00:00:00-2019-06-18 00:00:00,0.02,0.19,8,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.151369355943245,3.519645637628625e-05,False,False,3.75326554082959e-14,29663,220545,41,61,Demographics,Demographics,mean,6.755448885125908e-05
1145,2017-04-19 00:00:00-2019-12-20 00:00:00,0.44,1.09,427,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,4.143522701998903,3.572100338427752e-05,False,False,8.69589035612299e-08,29663,220545,41,61,Demographics,Demographics,mean,6.849223609633876e-05
1289,2017-03-16 00:00:00-2019-08-01 00:00:00,0.02,0.18,21,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.131169844819667,3.793043051638881e-05,False,False,6.392093477596731e-08,29663,220545,41,61,Demographics,Demographics,mean,7.265547253843491e-05
384,2017-03-22 00:00:00-2019-12-03 00:00:00,0.08,0.43,81,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,4.129349422512652,3.8245758712760455e-05,False,False,3.9669191531647865e-11,29663,220545,41,61,Demographics,Demographics,mean,7.318585385838784e-05
1330,2018-07-04 00:00:00-2019-09-03 00:00:00,0.0,0.07,2,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.129235906394871,3.9111037964718824e-05,False,False,2.452350674404041e-15,29663,220545,41,61,Demographics,Demographics,mean,7.476648221367936e-05
1958,2017-06-24 00:00:00-2019-12-13 00:00:00,0.12,0.54,105,2017-07-15 00:00:00-2019-09-24 00:00:00,0.08,0.83,65,4.1140613797973264,4.105706459103572e-05,False,False,7.49504934735812e-05,29663,220545,41,61,Demographics,Demographics,mean,7.840787460514746e-05
2492,2017-04-11 00:00:00-2019-12-05 00:00:00,0.08,0.39,76,2017-05-27 00:00:00-2019-12-05 00:00:00,0.03,0.32,25,4.0878263139734,4.573633114471073e-05,False,False,4.798843134248166e-07,29663,220545,41,61,Demographics,Demographics,mean,8.725648747447818e-05
305,2018-04-18 00:00:00-2019-08-01 00:00:00,0.04,0.35,19,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.086185748021255,4.640262043293858e-05,False,False,1.230182052819201e-10,29663,220545,41,61,Demographics,Demographics,mean,8.84390283326477e-05
1862,2017-03-09 00:00:00-2019-12-16 00:00:00,0.31,1.14,319,2017-05-03 00:00:00-2019-11-29 00:00:00,0.04,0.22,35,4.0384032937342305,5.6067755773464594e-05,False,False,3.807203312767725e-14,29663,220545,41,61,Demographics,Demographics,mean,0.00010675300699267658
1187,2017-03-07 00:00:00-2019-12-30 00:00:00,0.5,1.04,514,2018-01-30 00:00:00-2018-07-12 00:00:00,0.01,0.11,2,4.107704727781248,5.7043189731359146e-05,False,False,1.5555903272333984e-75,29663,220545,41,61,Demographics,Demographics,mean,0.00010850173151699082
716,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-04-05 00:00:00-2019-08-03 00:00:00,0.02,0.16,13,4.002816916498239,6.593960773293085e-05,False,False,0.00018873258695631045,29663,220545,41,61,Demographics,Demographics,mean,0.00012529841629091852
1855,2017-03-09 00:00:00-2019-12-16 00:00:00,0.31,1.14,319,2017-04-06 00:00:00-2019-11-26 00:00:00,0.02,0.17,22,3.995989940194382,6.68239440869706e-05,False,False,1.840127376263455e-19,29663,220545,41,61,Demographics,Demographics,mean,0.0001268522328430628
1932,2017-06-24 00:00:00-2019-12-13 00:00:00,0.12,0.54,105,2017-03-16 00:00:00-2019-11-25 00:00:00,0.07,0.69,71,3.9905412512212344,6.924957630492644e-05,False,False,0.00013742492544928866,29663,220545,41,61,Demographics,Demographics,mean,0.00013132588972567723
731,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-07-02 00:00:00-2019-07-26 00:00:00,0.03,0.34,21,3.985062588266293,7.078660456287544e-05,False,False,5.969735273116989e-06,29663,220545,41,61,Demographics,Demographics,mean,0.00013410715929125855
2065,2017-04-25 00:00:00-2019-12-23 00:00:00,0.13,0.6,125,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,3.983778930719104,7.092869337234279e-05,False,False,5.642011120805122e-17,29663,220545,41,61,Demographics,Demographics,mean,0.00013424277552777402
726,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-06-13 00:00:00-2019-10-25 00:00:00,0.02,0.3,20,3.9828301623957105,7.137724439925129e-05,False,False,3.77839833792484e-05,29663,220545,41,61,Demographics,Demographics,mean,0.00013495757034376807
734,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-03-04 00:00:00-2019-12-30 00:00:00,0.31,0.88,324,-3.9332403519475045,8.676745377385243e-05,False,False,1.4271909621029213e-24,29663,220545,41,61,Demographics,Demographics,mean,0.00016389407935061013
1844,2017-03-08 00:00:00-2019-12-27 00:00:00,0.64,2.03,655,2017-07-17 00:00:00-2018-10-22 00:00:00,0.01,0.09,4,3.941221117905833,8.744699400723635e-05,False,False,4.52494865311401e-39,29663,220545,41,61,Demographics,Demographics,mean,0.00016501395103050347
262,2017-02-28 00:00:00-2019-12-30 00:00:00,2.22,3.37,2302,2017-03-09 00:00:00-2019-12-30 00:00:00,1.64,2.2,1686,-3.9302493186996044,8.77067346412711e-05,False,False,9.69162164958703e-09,29663,220545,41,61,Demographics,Demographics,mean,0.00016534022055146553
97,2017-03-28 00:00:00-2019-12-06 00:00:00,0.06,0.35,58,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,3.923361124403219,9.123881233920055e-05,False,False,2.256385732249599e-08,29663,220545,41,61,Demographics,Demographics,mean,0.00017182858426690193
