,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
64,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,0.19492090396390493,0.8463705525680952,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
59,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,-0.17670529490922016,0.8623331099058705,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
44,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-07-29 00:00:00-2018-08-19 00:00:00,32.32,70.38,711,-0.17297165174806914,0.8635137611765858,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
49,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,0.16336361601866997,0.8714211152927611,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
82,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-0.15015140828244883,0.8817323589148889,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
66,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,-0.14583693595631073,0.8850581928312413,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
39,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2017-07-30 00:00:00-2017-08-13 00:00:00,37.27,79.73,559,-0.13928121076748748,0.8902019228943328,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
67,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,-0.13701230615708115,0.8919625515919366,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
69,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,-0.11789316859161408,0.9069532770287617,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
12,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,-0.11351841151266577,0.9096735065569294,False,False,1.3819947523687568e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
35,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,0.11500306207909747,0.9100870162175068,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
51,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2017-07-30 00:00:00-2017-08-13 00:00:00,37.27,79.73,559,0.10162041425298657,0.9197849555465479,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
62,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,-0.09987234903427948,0.9211187414888486,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
65,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,-0.09715536604617608,0.9232561236526016,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
78,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,-0.09553220622870552,0.9245751171502495,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
56,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2018-07-29 00:00:00-2018-08-19 00:00:00,32.32,70.38,711,0.09232054495242399,0.9270658226099071,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
79,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,-0.08716862753040562,0.9311597493641337,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
73,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,0.08709004592375423,0.9312218820735969,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
107,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,0.08057494900167383,0.9369240671972119,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
37,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,-0.07478227256567622,0.9408877953765438,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
58,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-0.07306364567168144,0.942275877488058,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
81,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,-0.06913323976378716,0.9453758033145291,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
40,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,0.05280900980074305,0.9581166113373215,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
74,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,-0.052263688687560164,0.958690090787162,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
61,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,0.04982998512244959,0.9605729486191676,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
77,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,-0.049667425737020356,0.960740346066034,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
68,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-07-29 00:00:00-2018-08-19 00:00:00,32.32,70.38,711,-0.037052258352203264,0.9706189795257099,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
